StateAbb;CCode;StateNme;GDP2005
USA;2;United States of America;11750000000000
CAN;20;Canada;1023000000000
BHM;31;Bahamas;5295000000
CUB;40;Cuba;33920000000
CUB;40;Cuba;33920000000
HAI;41;Haiti;12050000000
HAI;41;Haiti;12050000000
DOM;42;Dominican Republic;55680000000
DOM;42;Dominican Republic;55680000000
JAM;51;Jamaica;11130000000
TRI;52;Trinidad and Tobago;11480000000
BAR;53;Barbados;4569000000
DMA;54;Dominica;384000000
GRN;55;Grenada;440000000
SLU;56;St. Lucia;866000000
SVG;57;St. Vincent and the Grenadines;342000000
AAB;58;Antigua & Barbuda;750000000
SKN;60;St. Kitts and Nevis;339000000
MEX;70;Mexico;1006000000000
BLZ;80;Belize;1778000000
GUA;90;Guatemala;59470000000
HON;91;Honduras;18790000000
SAL;92;El Salvador;32350000000
NIC;93;Nicaragua;12340000000
COS;94;Costa Rica;37970000000
PAN;95;Panama;20570000000
COL;100;Colombia;281100000000
VEN;101;Venezuela;145200000000
GUY;110;Guyana;2899000000
SUR;115;Suriname;1885000000
ECU;130;Ecuador;49510000000
PER;135;Peru;155300000000
BRA;140;Brazil;1492000000000
BOL;145;Bolivia;22330000000
PAR;150;Paraguay;29930000000
PAR;150;Paraguay;29930000000
CHL;155;Chile;169100000000
ARG;160;Argentina;483500000000
URU;165;Uruguay;49270000000
UKG;200;United Kingdom;1782000000000
IRE;205;Ireland;126400000000
NTH;210;Netherlands;481100000000
NTH;210;Netherlands;481100000000
BEL;211;Belgium;316200000000
BEL;211;Belgium;316200000000
LUX;212;Luxembourg;27270000000
LUX;212;Luxembourg;27270000000
FRN;220;France;1737000000000
FRN;220;France;1737000000000
MNC;221;Monaco;870000000
LIE;223;Liechtenstein;825000000
SWZ;225;Switzerland;251900000000
SPN;230;Spain;937600000000
AND;232;Andorra;1900000000
POR;235;Portugal;188700000000
HAN;240;Hanover;NA
BAV;245;Bavaria;NA
GMY;255;Germany;2362000000000
GMY;255;Germany;2362000000000
GFR;260;German Federal Republic;NA
GDR;265;German Democratic Republic;NA
BAD;267;Baden;NA
SAX;269;Saxony;NA
WRT;271;Wuerttemburg;NA
HSE;273;Hesse Electoral;NA
HSG;275;Hesse Grand Ducal;NA
MEC;280;Mecklenburg Schwerin;NA
POL;290;Poland;463000000000
POL;290;Poland;463000000000
AUH;300;Austria-Hungary;NA
AUS;305;Austria;255900000000
AUS;305;Austria;255900000000
HUN;310;Hungary;149300000000
CZE;315;Czechoslovakia;NA
CZE;315;Czechoslovakia;NA
CZR;316;Czech Republic;172200000000
SLO;317;Slovakia;78890000000
ITA;325;Italy;1609000000000
PAP;327;Papal States;NA
SIC;329;Two Sicilies;NA
SNM;331;San Marino;940000000
MOD;332;Modena;NA
PMA;335;Parma;NA
TUS;337;Tuscany;NA
MLT;338;Malta;7223000000
ALB;339;Albania;17460000000
ALB;339;Albania;17460000000
MNG;341;Montenegro;NA
MAC;343;Macedonia;14400000000
CRO;344;Croatia;50330000000
YUG;345;Yugoslavia;NA
YUG;345;Yugoslavia;NA
BOS;346;Bosnia and Herzegovina;26210000000
KOS;347;Kosovo;NA
SLV;349;Slovenia;39410000000
GRC;350;Greece;226400000000
GRC;350;Greece;226400000000
CYP;352;Cyprus;15710000000
BUL;355;Bulgaria;61630000000
MLD;359;Moldova;8581000000
ROM;360;Romania;171500000000
RUS;365;Russia;1408000000000
EST;366;Estonia;19230000000
EST;366;Estonia;19230000000
LAT;367;Latvia;26530000000
LAT;367;Latvia;26530000000
LIT;368;Lithuania;45230000000
LIT;368;Lithuania;45230000000
UKR;369;Ukraine;299100000000
BLR;370;Belarus;70500000000
ARM;371;Armenia;13650000000
GRG;372;Georgia;14450000000
AZE;373;Azerbaijan;30010000000
FIN;375;Finland;151200000000
SWD;380;Sweden;255400000000
NOR;385;Norway;183000000000
NOR;385;Norway;183000000000
DEN;390;Denmark;174400000000
DEN;390;Denmark;174400000000
ICE;395;Iceland;9373000000
CAP;402;Cape Verde;600000000
STP;403;Sao Tome and Principe;214000000
GNB;404;Guinea-Bissau;1008000000
EQG;411;Equatorial Guinea;1270000000
GAM;420;Gambia;2799000000
MLI;432;Mali;11000000000
SEN;433;Senegal;18360000000
BEN;434;Benin;8338000000
MAA;435;Mauritania;5534000000
NIR;436;Niger;9716000000
CDI;437;Ivory Coast;24780000000
GUI;438;Guinea;19500000000
BFO;439;Burkina Faso;15740000000
LBR;450;Liberia;2903000000
SIE;451;Sierra Leone;3335000000
GHA;452;Ghana;48270000000
TOG;461;Togo;8684000000
CAO;471;Cameroon;30170000000
NIG;475;Nigeria;125700000000
GAB;481;Gabon;7966000000
CEN;482;Central African Republic;4248000000
CHA;483;Chad;15660000000
CON;484;Congo;NA
DRC;490;Democratic Republic of the Congo;42740000000
UGA;500;Uganda;39390000000
KEN;501;Kenya;34680000000
TAZ;510;Tanzania;23710000000
ZAN;511;Zanzibar;NA
BUI;516;Burundi;4001000000
RWA;517;Rwanda;10430000000
SOM;520;Somalia;4597000000
DJI;522;Djibouti;619000000
ETH;530;Ethiopia;54890000000
ETH;530;Ethiopia;54890000000
ERI;531;Eritrea;4154000000
ANG;540;Angola;23170000000
MZM;541;Mozambique;23380000000
ZAM;551;Zambia;9409000000
ZIM;552;Zimbabwe;24370000000
MAW;553;Malawi;7410000000
SAF;560;South Africa;491400000000
NAM;565;Namibia;14760000000
LES;570;Lesotho;5892000000
BOT;571;Botswana;15050000000
SWA;572;Swaziland;6018000000
MAG;580;Madagascar;14560000000
COM;581;Comoros;441000000
MAS;590;Mauritius;15680000000
SEY;591;Seychelles;626000000
MOR;600;Morocco;134600000000
MOR;600;Morocco;134600000000
ALG;615;Algeria;212300000000
TUN;616;Tunisia;70880000000
TUN;616;Tunisia;70880000000
LIB;620;Libya;37480000000
SUD;625;Sudan;76190000000
SSD;626;South Sudan;NA
IRN;630;Iran;516700000000
TUR;640;Turkey;508700000000
IRQ;645;Iraq;54400000000
EGY;651;Egypt;316300000000
EGY;651;Egypt;316300000000
SYR;652;Syria;60440000000
SYR;652;Syria;60440000000
LEB;660;Lebanon;18830000000
JOR;663;Jordan;25500000000
ISR;666;Israel;129000000000
SAU;670;Saudi Arabia;310200000000
YAR;678;Yemen Arab Republic;NA
YEM;679;Yemen;16250000000
YPR;680;Yemen People's Republic;NA
KUW;690;Kuwait;48000000000
BAH;692;Bahrain;13010000000
QAT;694;Qatar;19490000000
UAE;696;United Arab Emirates;63670000000
OMA;698;Oman;38090000000
AFG;700;Afghanistan;21500000000
TKM;701;Turkmenistan;27600000000
TAJ;702;Tajikistan;7950000000
KYR;703;Kyrgyzstan;8495000000
UZB;704;Uzbekistan;47590000000
KZK;705;Kazakhstan;118400000000
CHN;710;China;7262000000000
MON;712;Mongolia;5332000000
TAW;713;Taiwan;576200000000
KOR;730;Korea;NA
PRK;731;North Korea;40000000000
ROK;732;South Korea;925100000000
JPN;740;Japan;3745000000000
JPN;740;Japan;3745000000000
IND;750;India;3319000000000
BHU;760;Bhutan;2900000000
PAK;770;Pakistan;347300000000
BNG;771;Bangladesh;275700000000
MYA;775;Myanmar;NA
SRI;780;Sri Lanka;80580000000
MAD;781;Maldives;1250000000
NEP;790;Nepal;39530000000
THI;800;Thailand;524800000000
CAM;811;Cambodia;26990000000
LAO;812;Laos;11280000000
DRV;816;Vietnam;227200000000
RVN;817;Republic of Vietnam;227200000000
MAL;820;Malaysia;229300000000
SIN;830;Singapore;120900000000
BRU;835;Brunei;6842000000
PHI;840;Philippines;430600000000
INS;850;Indonesia;827400000000
ETM;860;East Timor;370000000
AUL;900;Australia;611700000000
PNG;910;Papua New Guinea;11990000000
NEW;920;New Zealand;92510000000
VAN;935;Vanuatu;580000000
SOL;940;Solomon Islands;800000000
KIR;946;Kiribati;79000000
TUV;947;Tuvalu;12200000
FIJ;950;Fiji;5173000000
TON;955;Tonga;244000000
NAU;970;Nauru;60000000
MSI;983;Marshall Islands;115000000
PAL;986;Palau;174000000
FSM;987;Federated States of Micronesia;277000000
WSM;990;Samoa;1000000000
